site_code,paper_id,edition_id,paper_name,data_folder,group_id,site_name,column_width,gutter_width,2024/12/05 column_height,original_column_height,# Columns,has_masthead,masthead_depth (yellow means has banners),sequence_table,page_to_email_address,page_cc_email_address
WAY,1,1,LAKESHORE NEWS,NY/LAKESHORE_NEWS,11,WAYUGA Printing & Publishing,1.8767,0.1666,15.3600,15.3600,5,N,,LLCPUB1,legals@wayuga.com; chuck.palermo@wayuga.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
TRM,1,1,Riverhead News-Review,NY/Riverhead_News-Review,21,Times Review Media Group,1.8750,0.0764,13.7500,12.6250,5,Y,1.13,LLCPUB1,mgennaro@timesreview.com; fcannon@timesreview.com; ctorres@timesreview.com; Angela@timesreview.com; ckelly@timesreview.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
TRM,2,1,Shelter Island Reporter,NY/Shelter_Island_Reporter,21,Times Review Media Group,1.8750,0.0764,13.7500,12.6250,5,Y,1.13,LLCPUB1,mgennaro@timesreview.com; fcannon@timesreview.com; ctorres@timesreview.com; Angela@timesreview.com; ckelly@timesreview.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
TRM,3,1,The Suffolk Times,NY/The_Suffolk_Times,21,Times Review Media Group,1.8750,0.0764,13.7500,12.6250,5,Y,1.13,LLCPUB1,mgennaro@timesreview.com; fcannon@timesreview.com; ctorres@timesreview.com; Angela@timesreview.com; ckelly@timesreview.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
THV,1,1,Mid Hudson  Times,NY/Mid_Hudson__Times,11,Times Hudson Valley Media,1.3750,0.2500,9.5000,9.5000,6,N,,LLCPUB1,caiello@tcnewspapers.com; cshortle@tcnewspapers.com; rmaher@tcnewspapers.com; legals@tcnewspapers.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
THV,2,1,News of The Highlands,NY/News_of_The_Highlands_,11,Times Hudson Valley Media,1.3750,0.2500,9.5000,9.5000,6,N,,LLCPUB1,caiello@tcnewspapers.com; cshortle@tcnewspapers.com; rmaher@tcnewspapers.com; legals@tcnewspapers.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
THV,3,1,Cornwall Local,NY/Cornwall_Local_,11,Times Hudson Valley Media,1.3750,0.2500,9.5000,9.5000,6,N,,LLCPUB1,caiello@tcnewspapers.com; cshortle@tcnewspapers.com; rmaher@tcnewspapers.com; legals@tcnewspapers.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
THV,4,1,Southern Ulster Times,NY/Southern_Ulster_Times,11,Times Hudson Valley Media,1.3750,0.2500,9.5000,9.5000,6,N,,LLCPUB1,caiello@tcnewspapers.com; cshortle@tcnewspapers.com; rmaher@tcnewspapers.com; legals@tcnewspapers.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
THV,5,1,Wallkill Valley Times,NY/Wallkill_Valley_Times,11,Times Hudson Valley Media,1.3750,0.2500,9.5000,9.5000,6,N,,LLCPUB1,caiello@tcnewspapers.com; cshortle@tcnewspapers.com; rmaher@tcnewspapers.com; legals@tcnewspapers.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
GAZ,1,1,Catskill Daily Mail,NY/Catskill_Daily_Mail,06,The Gazette,1.2750,0.0438,19.7500,19.4350,8,N,,LLCPUB1,nypalegals@dailygazette.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
